p0,T_voronoi,mean_q,T_vertex,how,tau_voronoi,tau_vertex,tau_ratio_v_over_V
3.8,0.0016,3.802534173419047,,q_outside_vertex,44857.43365079655,,
3.8,0.0018,3.8030734362666667,,q_outside_vertex,20354.12033883563,,
3.8,0.002,3.8040626283238095,,q_outside_vertex,13357.57776429996,,
3.8,0.0031,3.8083216315851063,,q_outside_vertex,1423.112663806807,,
3.8,0.00385,3.8119525419550566,,q_outside_vertex,550.157473723199,,
3.8,0.005,3.81708873341573,,q_outside_vertex,225.1106579843973,,
3.8,0.0063,3.821944999280899,,q_outside_vertex,113.7016162386507,,
3.8,0.008,3.8273452403146075,,q_outside_vertex,61.57546102366048,,
3.8,0.01,3.8337402516404495,0.005130938478909393,interp_T_nonmonotone,38.70700460286636,32557.245758955127,841.1202595755542
3.8,0.016,3.8487837847977526,0.008008358588701994,interp_T_nonmonotone,13.32673763266526,10576.797996031413,793.6524517528243
3.8,0.025,3.8652553296629213,0.01075261351833157,interp_T_nonmonotone,5.532245798634841,1248.375100331898,225.65430853414938
3.8,0.03105,3.8746049390224715,0.01278551085248674,interp_T_nonmonotone,3.926947303972556,683.3245007826768,174.00908336391882
3.8,0.039,3.885002408752809,0.015322319443991725,interp_T_nonmonotone,2.764809517861429,397.1286384548222,143.6368892284485
3.8,0.063,3.9095986286516853,0.02237951809083524,interp_T_nonmonotone,0.8123588919200075,159.82907404819218,196.74687584256841
3.815,0.00067,3.8153703849238094,,q_outside_vertex,39867.66555424012,,
3.815,0.0008,3.815665359914286,,q_outside_vertex,25243.92624307873,,
3.815,0.001,3.8161595632857144,,q_outside_vertex,9590.437074312706,,
3.815,0.0012,3.8168661010380958,,q_outside_vertex,4554.685221673389,,
3.815,0.0015,3.81791052517,,q_outside_vertex,1783.428986975867,,
3.815,0.0022,3.820803225322917,,q_outside_vertex,473.6304664843519,,
3.815,0.0028,3.8226114397865167,,q_outside_vertex,245.2452836100766,,
3.815,0.00385,3.8263819715168537,,q_outside_vertex,123.0056537350757,,
3.815,0.005,3.830387236224719,,q_outside_vertex,63.18591917732393,,
3.815,0.0063,3.834521593337078,0.003220437261709902,interp_T,40.53126014447913,65525.17918148081,1616.6578326927784
3.815,0.01,3.8447303791573035,0.004814576217328022,interp_T,17.38966390729475,13913.044485299379,800.075525293104
3.815,0.025,3.8739919613146068,0.010458994036062246,interp_T,3.497855621381444,815.1118733335309,233.03188054731956
3.815,0.063,3.9155447010561795,0.021238647221413224,interp_T,0.8746718197576249,158.26367692344337,180.94063778949558
3.825,0.0001,3.8251064811523814,,q_outside_vertex,156386.9286890837,,
