p0,T,mean_q,std_mean_q,mean_q_minus_p0,mean_P,p6,p5p7,eP,n_frames
3.8,0.00535426,3.8349302475238094,0.0008644138281091259,0.03493024752380958,3.8337064198928568,0.945600237161905,0.054385230654761904,0.003369350719761906,84
3.8,0.00704038,3.844338076307692,0.0006018556550859257,0.044338076307692376,3.8428069009743595,0.9225135216282052,0.07732997796474358,0.00471972880652564,78
3.8,0.00718994,3.843842191820225,0.0008290945164416377,0.043842191820225196,3.8423071483258426,0.9453262157730338,0.05463263693820225,0.004745530146258427,89
3.8,0.00796442,3.8483962270000003,0.0008091704517126001,0.04839622700000046,3.846723977370787,0.9233535595146068,0.0766162658005618,0.005443306181910112,89
3.8,0.00822905,3.8507303807142854,0.0006814908565720804,0.050730380714285594,3.848980670011905,0.8982340494702379,0.10171944754583331,0.0057990399937023806,84
3.8,0.00876128,3.853975178380953,0.0008442944454689485,0.053975178380953004,3.8521061942380945,0.8817225864976189,0.1181756882345238,0.006288342057630953,84
3.8,0.00961925,3.85912346697436,0.0008426662707494273,0.059123466974360106,3.8571064556153853,0.8491711738743587,0.1507036258,0.007172109227551282,78
3.8,0.00996505,3.8617885545616435,0.0008083089327694864,0.06178855456164367,3.8596885817397255,0.8312386290630136,0.16864431721369863,0.007556699817191781,73
3.8,0.01157466,3.8688738952876705,0.0008944465049451224,0.06887389528767063,3.866471730315069,0.812473244861644,0.18667059074520548,0.009122955241095892,73
3.8,0.01365467,3.878718731465753,0.0010612566437750617,0.07871873146575314,3.8759400148767122,0.7782801797917809,0.22080345676164384,0.011237345123150685,73
3.8,0.01973598,3.9016330133972597,0.001122452901268362,0.10163301339725983,3.897786090369863,0.7215994220945205,0.27666818279041094,0.01757004781082192,73
3.8,0.03119342,3.9361570322328765,0.001212193742401462,0.13615703223287667,3.9303304883150694,0.6591127996561643,0.3362719392191781,0.029579901997260266,73
3.8,0.04493352,3.970429704849315,0.001639253808505104,0.1704297048493153,3.9622094748904115,0.6300266213671233,0.3615956763808219,0.04470293009164383,73
3.8,0.06198152,4.006981359986302,0.0020313303074032557,0.20698135998630196,3.995475141876712,0.5868906517575342,0.3987986943520548,0.0638192504539726,73
3.8,0.08400365,4.047367171424657,0.002250939041078624,0.24736717142465725,4.031721412972603,0.5549985284698631,0.4248615421643836,0.08849532658150686,73
3.8,0.09830474,4.071215289493152,0.0022857918215661317,0.2712152894931519,4.052617319821918,0.5462328767150686,0.4286407052684932,0.10469744129041096,73
3.8,0.16398067,4.165696049109589,0.0035518324857409848,0.3656960491095891,4.133270227027397,0.4953713613013699,0.4609843214945206,0.1798299368219178,73
3.815,0.00297748,3.832913055348315,0.0005465645181446042,0.017913055348314888,3.8320219751348312,0.9657105863764045,0.03428392731741573,0.001554550603483146,89
3.815,0.00417946,3.840870959047618,0.0005236321433604745,0.025870959047618047,3.8397260173333323,0.9273216610857142,0.07266671316964286,0.0023566451043928573,84
3.815,0.00590473,3.851354932769231,0.0008041381710018012,0.03635493276923096,3.849864925615385,0.8832162710333336,0.11672425881794875,0.0036403086045256393,78
3.815,0.0060978,3.851625054516854,0.0006683766061266637,0.03662505451685405,3.850095321044944,0.8881973095168539,0.11164633075674159,0.0037778047235730336,89
3.815,0.00702801,3.857007227392857,0.0007244284759004553,0.042007227392856894,3.85530807272619,0.8631359281892858,0.13681175596190476,0.004523720669238095,84
3.815,0.00829312,3.864155028410256,0.000750068403041429,0.04915502841025621,3.862198750653846,0.8328732221538462,0.16673552683846155,0.005647357321487179,78
3.815,0.00881879,3.867677538945205,0.0007092505395472688,0.052677538945204994,3.86557818360274,0.8023397367260273,0.1967706549657534,0.006174285100424658,73
3.815,0.01011368,3.8723807240273973,0.0008513139431812085,0.057380724027397356,3.8700964703972605,0.8080419252986302,0.19146644906164384,0.007219708556821917,73
3.815,0.01273808,3.8846261895890413,0.0009162546327902591,0.06962618958904132,3.8818544516164386,0.7654042701191782,0.23370612157671236,0.009711664889547944,73
3.815,0.02008463,3.912189783410959,0.0012232447057433627,0.09718978341095896,3.9080791300958904,0.7041383508068493,0.29301557149041096,0.01683484027616438,73
3.815,0.03205711,3.9469957496164385,0.0014625517945706778,0.13199574961643856,3.9408091915342456,0.6554306239273971,0.3393420911863014,0.028777650880273977,73
3.815,0.05607261,4.004025281013699,0.0019291870584032399,0.18902528101369898,3.9932840405205483,0.5962649828849315,0.39010996361643835,0.054811875253698635,73
3.815,0.09749689,4.079090735821918,0.0026071050546341585,0.264090735821918,4.060145546589041,0.5434837863849316,0.428861435150685,0.1004030045479452,73
3.815,0.10562311,4.091411237260274,0.002784554311730908,0.2764112372602736,4.0705790938904105,0.5323101723,0.43895815497123286,0.10936521321232877,73
3.815,0.16265453,4.1720855735205475,0.003500222391475829,0.3570855735205476,4.139685652123287,0.49479612586164395,0.46068332619315067,0.1735866258479452,73
3.825,0.00172962,3.8347647397865163,0.0004060585645016049,0.009764739786516152,3.8340850135842692,0.9468157478786516,0.053184252106741575,0.0008543584971011236,89
3.825,0.00260712,3.8400468833928563,0.0005577812205663082,0.015046883392856092,3.839160854821428,0.9391799200035713,0.06082007998511905,0.001330811149047619,84
3.825,0.00418735,3.8493732979871798,0.0007999186425932709,0.024373297987179576,3.848129390179487,0.8941274789653849,0.10578801081666665,0.0023092589134743593,78
3.825,0.00496885,3.853435972775281,0.0007691468623975973,0.02843597277528076,3.852037028179775,0.8982756539606742,0.10167771243258428,0.0028020478126853936,89
3.825,0.0057681,3.858732628547618,0.0007618544571722897,0.033732628547617605,3.8571710742380945,0.8530622209809524,0.1468389601952381,0.0034583673459404767,84
3.825,0.00683658,3.865022164438357,0.0007941448755435297,0.04002216443835671,3.8632390149041096,0.8250816031657533,0.17455051369999997,0.004293767055972604,73
3.825,0.00687376,3.8643929019230776,0.0008654375046016232,0.03939290192307743,3.8626001771282055,0.8336932842589742,0.16613456530128204,0.004270846912461539,78
3.825,0.0085038,3.873168619493151,0.0009400154659966894,0.04816861949315099,3.871043238041096,0.7958415828424658,0.20398785316027399,0.005651082994342466,73
3.825,0.01083597,3.8840311390273974,0.0010257723966521242,0.059031139027397206,3.8814926723424654,0.769116545380822,0.23035504066027399,0.007687118239356166,73
3.825,0.01691592,3.9085104202602743,0.0013014711194989231,0.08351042026027411,3.9047795456712335,0.7096733197767124,0.2885273972561644,0.01325703141739726,73
3.825,0.02759231,3.941447230972603,0.0011027639413234607,0.11644723097260279,3.9358021032328763,0.6544574058260275,0.3410677975150685,0.02354970651013699,73
3.825,0.04506436,3.9854112795068493,0.0019172106269928144,0.16041127950684908,3.976636615520548,0.6136357555602739,0.3771604773082192,0.04126324734643835,73
3.825,0.06529403,4.026744605,0.0020092417103032925,0.20174460500000002,4.014066010520548,0.5781718214890411,0.4070493097164384,0.06269654070589042,73
3.825,0.09228032,4.07597134210959,0.0026829952115608063,0.2509713421095894,4.0578118188493155,0.5390156785082192,0.4363461847150685,0.0923089169450685,73
3.825,0.10321059,4.092990675054795,0.002644963680738399,0.26799067505479446,4.072829782575343,0.5329288848438357,0.43701171874931505,0.10420417605616439,73
3.825,0.15936938,4.173732405643835,0.0030983219618220237,0.348732405643835,4.140771605452056,0.4978896885657534,0.45904457406027394,0.16686630736027397,73
3.85,0.000825,3.8537286871123597,0.0003086745482048315,0.00372868711235963,3.85326715077528,0.8906634041370787,0.10933659586292134,0.0004018773058022472,89
3.85,0.00138085,3.8566654662619055,0.00035536012945959835,0.0066654662619054506,3.8559867431071435,0.8697422572583335,0.13023739769047618,0.0006755043477749999,84
3.85,0.00163685,3.858013631865168,0.00039450108307149495,0.008013631865167792,3.8572537241460676,0.8729097173505618,0.12707382373258425,0.0007900227501325842,89
3.85,0.00227471,3.8616625747738094,0.00036893785634459366,0.011662574773809276,3.8606993987023808,0.8467726934547619,0.1531982421857143,0.0011338498206309524,84
3.85,0.00257217,3.8634944014871793,0.0003988662343093338,0.013494401487179175,3.86244938826923,0.8332300430717947,0.1666478866205128,0.001296697026397436,78
3.85,0.00338984,3.8677751292022466,0.0006013491432959995,0.017775129202246553,3.866514567325842,0.8285611613348315,0.17119469804157303,0.001741273900786517,89
3.85,0.00373261,3.86997591998718,0.0005772991943490974,0.019975919987179847,3.8686237036794875,0.8098707932743588,0.18985376602051282,0.001944745033564103,78
3.85,0.00396053,3.871109930797619,0.0006841051773585358,0.021109930797619025,3.869710329035714,0.8037952241523809,0.196012951072619,0.0021013702336071427,84
3.85,0.00476227,3.875510017884615,0.0006392558357467265,0.025510017884614822,3.873921901217948,0.7890781500397436,0.21044921875,0.002615689203871795,78
3.85,0.00495084,3.8760632897397254,0.0006858385569898839,0.02606328973972527,3.8744358774520546,0.795135916090411,0.20455639982602739,0.0026968953534109584,73
3.85,0.005971,3.8813050968493146,0.0008505586994829159,0.031305096849314484,3.879429739123288,0.7646116491917808,0.23511745504794523,0.0034175308246849317,73
3.85,0.00826466,3.8921310636301363,0.0009681091717259187,0.04213106363013619,3.88979714079452,0.7440871147273973,0.2554179152438356,0.0050334862825753435,73
3.85,0.01212699,3.9086017299863007,0.0012315088050817748,0.058601729986300644,3.9054872038219175,0.7105395173356165,0.2879320954684932,0.008121274955424657,73
3.85,0.01667554,3.92457309090411,0.0012296526005712144,0.07457309090411002,3.920602128917808,0.6823061590260274,0.3140283872,0.01183114188328767,73
3.85,0.0239427,3.9473005555890404,0.0013811715688112848,0.09730055558904027,3.941982687424658,0.6510795697739725,0.34425165882191777,0.01820828555931507,73
3.85,0.04100738,3.9918861763424656,0.0019024872354065077,0.14188617634246548,3.983269236054795,0.6152009310863015,0.37416724635616433,0.034596588687123286,73
3.85,0.0636712,4.03932941209589,0.0020738853815449386,0.18932941209589016,4.026327685315068,0.572158604450685,0.41013618364794524,0.05703748769191782,73
3.85,0.0988608,4.100489104726027,0.002732705698888449,0.2504891047260265,4.080243653219179,0.5344171393410958,0.4371789383561644,0.09412928276821916,73
