p0,T,mean_q,std_mean_q,mean_q_minus_p0,mean_P,p6,p5p7,eP,n_frames
3.815,0.025,3.8739919613146068,0.0012878975699246095,0.05899196131460682,3.8702011726292143,0.6247448867617977,0.36820520980112353,0.01166404894258427,89
3.815,0.063,3.9155447010561795,0.002134439061959637,0.10054470105617952,3.907688354752809,0.5389006539696629,0.435774556705618,0.028947944847415735,89
3.825,0.00014,3.825091099647619,0.00015671637903463446,9.109964761888634e-05,3.8249993826857143,0.912434895832381,0.08756510416666667,6.780689050866665e-05,105
3.825,0.00018,3.825142850142856,0.00015234099905806864,0.00014285014285597697,3.8250283901428572,0.9080496651714286,0.09195033482142857,8.614476475047617e-05,105
3.825,0.0001,3.8251064811523814,0.00012331676642747733,0.00010648115238121036,3.8250389195714285,0.8963960193457143,0.10360398065428571,4.87881785792381e-05,105
3.825,0.00025,3.8250924863238094,0.00017197202187410688,9.248632380920441e-05,3.8249418471428567,0.9227399553580953,0.07726004464285714,0.00011735564780190476,105
3.825,0.00033,3.8250498067142855,0.0002261916495429408,4.980671428533867e-05,3.824862913038096,0.926925223204762,0.07307477678571428,0.0001539755965904762,105
3.825,0.0013,3.827588358977528,0.00035829467974380155,0.0025883589775279603,3.8270550408651687,0.835929270541573,0.16405152738426967,0.0005533768053415731,89
3.825,0.0015,3.828366429247191,0.0005424874935575856,0.003366429247190883,3.8277779038314605,0.8226798411112359,0.17730095681685396,0.0006465807640269663,89
3.825,0.0022,3.830458717022472,0.0004739589576029914,0.005458717022472026,3.829705219011236,0.8028550737325842,0.19710103581573035,0.0009136040163853932,89
3.825,0.0025,3.831525919910112,0.0004797390483675905,0.006525919910111977,3.830707715876405,0.7971575447696629,0.20258734199550563,0.0010413431669775283,89
3.825,0.002,3.8297441870112356,0.0005105570594291754,0.004744187011235468,3.8290409905393257,0.8104865256348315,0.1893708304033708,0.0008367101583292132,89
3.825,0.0031,3.833250510179775,0.0006559858260029131,0.00825051017977474,3.8323049583370787,0.7770858936157305,0.22273854458876405,0.0012855892583932586,89
3.825,0.00385,3.8358726877528095,0.0007038285309807313,0.010872687752809362,3.8347900471123597,0.762868131152809,0.23689321452921352,0.0015871803973707866,89
3.825,0.005,3.839087891269663,0.0007206201968325979,0.014087891269662922,3.837814487516854,0.7482663272460673,0.25131671348314605,0.002076433112561798,89
3.825,0.0063,3.843030358573034,0.0007695695216726972,0.018030358573033922,3.8415268113595498,0.7272016546696629,0.2719561973280899,0.0026477392214269663,89
3.825,0.008,3.84728713052809,0.0008197606641707358,0.022287130528089616,3.8455650232808987,0.7117192986303371,0.2870819434696629,0.0034044651745393254,89
3.825,0.016,3.864660648797753,0.0009342482404850189,0.039660648797752884,3.8618546659213484,0.6525824043179775,0.34330560920112363,0.00703885270441573,89
3.825,0.01,3.8520475985056177,0.0008652965522441613,0.027047598505617554,3.8500223346853932,0.6944511499292135,0.30364510182921345,0.004298635552415731,89
3.825,0.03105,3.8879225991460675,0.001496161103183144,0.06292259914606735,3.883300663325843,0.593711595858427,0.39498387026292137,0.013973833238426965,89
3.825,0.039,3.897356031359551,0.0016229867188333087,0.07235603135955104,3.8918877168988764,0.5757686314988765,0.409673455052809,0.017539337418764043,89
3.825,0.063,3.920450050910112,0.0016140743094860024,0.09545005091011172,3.9124805059438206,0.5333677141808989,0.4398152212123596,0.02797823434977528,89
3.85,0.00018,3.8502289139166663,0.0001500305494081407,0.00022891391666624017,3.850111482697917,0.7756347656239585,0.2243652343760417,8.710757770260418e-05,96
3.85,0.00033,3.8504233884606744,0.0001749989062828072,0.00042338846067435654,3.8502199596404494,0.7700332470157305,0.22993109199438203,0.0001564121234719101,89
3.85,0.0005,3.85071916788764,0.00020337422378847414,0.0007191678876399266,3.8504310936741573,0.7587341994415729,0.24124934164044942,0.0002334446850269663,89
3.85,0.00067,3.850937965932584,0.0002901112175344137,0.0009379659325841061,3.8505729377528093,0.7516925254550562,0.2482498683292135,0.00030447041934494385,89
3.85,0.001,3.851627324449438,0.0003611858406549852,0.001627324449438028,3.8511256722022478,0.7444396286876404,0.2554588746460674,0.000438678477105618,89
3.85,0.0025,3.8549467449550567,0.0005274688630507808,0.004946744955056648,3.8540185751235954,0.7129674332865169,0.2865936622247191,0.0010332973268348314,89
3.85,0.002,3.8537922135842697,0.0004962910511702081,0.0037922135842696214,3.8529835489325848,0.7197347919539326,0.2796809164269663,0.0008499053792067416,89
3.85,0.00385,3.858229542853932,0.0007727322773983772,0.00822954285393207,3.8570017461348307,0.6978334576887641,0.3011323735988764,0.0015726020426067415,89
3.85,0.005,3.860484308303371,0.000711305163531598,0.01048430830337077,3.8590532868651684,0.6901361701179775,0.308478537564045,0.002035270556539326,89
3.85,0.016,3.8817571018202246,0.0010686602882375473,0.03175710182022451,3.8786716051797754,0.621318688547191,0.37179599719101125,0.006559168541808987,89
3.85,0.01,3.871310278752809,0.000997316069552929,0.021310278752808998,3.869096800494382,0.648256451894382,0.3481335586348315,0.004050015751348315,89
3.85,0.039,3.911386889786517,0.001571671097381912,0.061386889786517074,3.9055028677191013,0.5551401202550561,0.4254026948685392,0.016311291109662923,89
