p0,T,t,Fs_mean,Fs_std,Fs_sem,n_idx
3.8,0.04493352,0.11114029869471674,0.9970980283902309,0.0001,3.1622776601683795e-05,10
3.8,0.04493352,0.12615876566045128,0.9962591156598336,0.0001,3.1622776601683795e-05,10
3.8,0.04493352,0.14320668866193417,0.9951963817318505,0.000122893719777143,3.8862406462625224e-05,10
3.8,0.04493352,0.16255830952494102,0.993834324649576,0.00015826079403842309,5.004645734682143e-05,10
3.8,0.04493352,0.1845249285666265,0.9920828748533348,0.00020405409548851259,6.452757076291886e-05,10
3.8,0.04493352,0.209459912335607,0.9898461165817946,0.0002622988460764423,8.294617812354779e-05,10
3.8,0.04493352,0.23776437805149325,0.9869805592137253,0.00033688828102729196,0.00010653342850651322,10
3.8,0.04493352,0.2698936461867474,0.9833732537241753,0.000430696334906456,0.00013619813981910844,10
3.8,0.04493352,0.3063645649904774,0.9787748688456215,0.0005487729277998708,0.00017353723700867262,10
3.8,0.04493352,0.3477638247803005,0.9730672035223401,0.000695071508174126,0.00021980091025185813,10
3.8,0.04493352,0.3947573957503299,0.9658293381642521,0.0008819185969688503,0.0002788871477281636,10
3.8,0.04493352,0.4481012411168134,0.956884854181572,0.0011101040037320093,0.00035104570914652077,10
3.8,0.04493352,0.5086534779386983,0.9458069849364881,0.0013916268354680155,0.0004400710453091322,10
3.8,0.04493352,0.5773881812384607,0.9323206963322793,0.0017333396328669268,0.0005481301198499543,10
3.8,0.04493352,0.6554110534835178,0.9161146072866027,0.002141894325839989,0.0006773264577045209,10
3.8,0.04493352,0.7439772114957187,0.8969155343884232,0.0026267663267813255,0.0008306564473663138,10
3.8,0.04493352,0.8445113769184625,0.8744454855476451,0.0032021252458992056,0.0010126009130168236,10
3.8,0.04493352,0.9586307950358789,0.8484860137053815,0.003883068700547887,0.0012279341404641641,10
3.8,0.04493352,1.088171250628218,0.8187933416910909,0.0046657100474027016,0.0014754270651724712,10
3.8,0.04493352,1.2352165993681232,0.7851296743079865,0.00553030457488441,0.0017488358611083953,10
3.8,0.04493352,1.402132289815328,0.747415858767148,0.006458927868178549,0.002042492330618,10
3.8,0.04493352,1.5916034152621248,0.7061458023336475,0.007313753382419425,0.002312811893320587,10
3.8,0.04493352,1.80667790755158,0.6629470840614378,0.007873448133308166,0.002489802914045484,10
3.8,0.04493352,2.0508155677068496,0.6211475214391868,0.00794810769351178,0.0025134123399804726,10
3.8,0.04493352,2.3279437221040404,0.5844670074116565,0.007513391129369075,0.0023759428920511094,10
3.8,0.04493352,2.642520399502972,0.5562652597269347,0.007019602975520508,0.0022197933672739984,10
3.8,0.04493352,2.9996060452346534,0.5395255799250123,0.00696732857144761,0.0022032627492541645,10
3.8,0.04493352,3.404944926177538,0.5379090320991435,0.006950383750191353,0.0021979043262827435,10
3.8,0.04493352,3.865057536045609,0.5548101976459903,0.006593166016310277,0.0020849421603159335,10
3.8,0.04493352,4.3873454874682505,0.5883522908581019,0.006891694769655868,0.0021793452410782013,10
3.8,0.04493352,4.980210578210885,0.6304159524638026,0.00764712537937485,0.002418233375170373,10
3.8,0.04493352,5.653189946897943,0.6658255964409971,0.00613755301538232,0.0019408646788642583,10
3.8,0.04493352,6.417109492424104,0.6711459718729749,0.004143867630723206,0.0013104060035330864,10
3.8,0.04493352,7.284258025038717,0.6451342944198499,0.007534771114030765,0.00238270383683815,10
3.8,0.04493352,8.268584950589176,0.6085957847803556,0.010505279378396466,0.00332206102921307,10
3.8,0.04493352,9.385924667975567,0.5906436196422343,0.009563639972408444,0.0030242885034640556,10
3.8,0.04493352,10.65425128959158,0.5956735337698374,0.008947942013932926,0.002829587713514215,10
3.8,0.04493352,12.093967782318368,0.5936086891467071,0.009780130912438791,0.0030927489497927373,10
3.8,0.04493352,13.728234180344895,0.5722314511961577,0.010876123916275264,0.003439332368966029,10
3.8,0.04493352,15.583340149618108,0.5604786617921664,0.011210445651645624,0.0035450541844730702,10
3.8,0.04493352,17.689127897190275,0.5498485128762749,0.01136437214450841,0.003593730015441876,10
3.8,0.04493352,20.07947222860456,0.5276429986904534,0.008336077501406811,0.0026360991656131,10
3.8,0.04493352,22.792825475773903,0.5158666010460367,0.009706326252829502,0.003069409867162859,10
3.8,0.04493352,25.872836061348632,0.4937816017261172,0.010953638870560308,0.0034638447497924857,10
3.8,0.04493352,29.369050650123167,0.4731998393168775,0.008866279965475775,0.0028037639063622512,10
3.8,0.04493352,33.33771118265806,0.4522013309344294,0.008812401170390649,0.0027867259353568027,10
3.8,0.04493352,37.842659612617176,0.43193525153552,0.008732878207193697,0.0027615785663579915,10
3.8,0.04493352,42.95636490189982,0.40655094028866745,0.007784367202356386,0.0024616330502559027,10
3.8,0.04493352,48.76108879434957,0.38005161118876946,0.009260491375924258,0.0029284245000267216,10
3.8,0.04493352,55.350209121286355,0.3532317581180456,0.010357868530796191,0.0032754456261897867,10
3.8,0.04493352,62.82972192624931,0.3261513622669418,0.010816016712986074,0.0034203248023483685,10
3.8,0.04493352,71.31994657291497,0.3021201477083497,0.011049864156080986,0.003494273856867022,10
3.8,0.04493352,80.95746126545187,0.27420023116978587,0.015300250966297444,0.004838364182569207,10
3.8,0.04493352,91.89730011710618,0.2430429920421243,0.012246355375678888,0.0038726376022992287,10
3.8,0.04493352,104.31544711021446,0.21567871528361363,0.012124277793772696,0.003834033281292296,10
3.8,0.04493352,118.41166706679324,0.18686119957923317,0.011088187185576541,0.003506392662871399,10
3.8,0.04493352,134.41271917018034,0.15749035992912433,0.00929592165648137,0.0029396285384966467,10
3.8,0.04493352,152.57600473212457,0.1321207633107792,0.012015959198073198,0.0037997799337561628,10
3.8,0.04493352,173.19370788521238,0.1087075518827361,0.010439232569625345,0.003301175194422837,10
3.8,0.04493352,196.59749580998604,0.08594607840049014,0.010424448972392706,0.003296500210496267,10
3.8,0.04493352,223.1638541070668,0.0663152571614045,0.006360227076815629,0.0020112803998612095,10
3.8,0.04493352,253.32014314187637,0.049924611002274695,0.00988096470582608,0.0031246353950146037,10
3.8,0.04493352,287.5514727874956,0.034647547324185124,0.0053882563827484155,0.0017039162786424995,10
3.8,0.04493352,326.40850615637055,0.02461154069804105,0.0047936892726738855,0.0015158976496765435,10
3.8,0.04493352,370.5163178557939,0.01693090769444829,0.003980615684023425,0.001258781205130315,10
3.8,0.04493352,420.58444926569615,0.008613230646468979,0.006025224531617638,0.0019053432933832943,10
3.8,0.04493352,477.4183225932176,0.003336165185170343,0.0037171139255307603,0.0011754546327006712,10
3.8,0.04493352,541.9321973165318,0.002002493559241789,0.003993621187263703,0.0012628939063659126,10
3.8,0.04493352,615.1638774420524,0.0023794010122064496,0.005176784834811898,0.0016370431034624117,10
3.8,0.04493352,698.2914061636919,0.001955964929817215,0.003086679729509729,0.0009760938352723191,10
3.8,0.04493352,792.652016483199,-0.0019166703175639657,0.004015217926853413,0.0012697233950796142,10
3.8,0.04493352,899.7636426411872,0.0004163204334531287,0.003704588936166415,0.0011714938832945996,10
3.8,0.04493352,1021.3493384030259,0.0015697450599172994,0.004069772725209143,0.0012869751370891457,10
3.8,0.04493352,1159.3649950049091,0.00013770804829300168,0.004423547398769995,0.00139884851178263,10
3.8,0.04493352,1316.0308046455484,-0.0018294416552953213,0.002840097162738945,0.0008981175810436963,10
3.8,0.04493352,1493.8669756616864,-0.001140307833972677,0.0013496265617546936,0.0004267893925806727,10
3.8,0.04493352,1695.7342739204687,-0.0020652362232144506,0.00218997954746173,0.0006925323399163885,10
3.8,0.04493352,1924.8800425987847,-0.0016012784171485193,0.0027047864461541677,0.0008553285754199547,10
3.8,0.04493352,2184.990440647822,-0.00018089706703407717,0.002339672370352418,0.000739869366887865,10
3.8,0.04493352,2480.2497402782196,-0.0011900859627850939,0.0027605883655847123,0.0008729746917409274,10
3.8,0.04493352,2815.4076373562034,-0.0005963609002271846,0.003566134970926729,0.0011277108951706807,10
3.8,0.04493352,3195.8556575010366,0.0005645386571612091,0.00363892593229207,0.0011507294182694604,10
3.8,0.04493352,3627.7138869923433,0.000442875038307952,0.00198537398190195,0.0006278303790048076,10
3.8,0.04493352,4117.929423686066,-0.0005822367366966266,0.0025212758995597135,0.0007972974452298616,10
3.8,0.04493352,4674.388131672206,-0.0015380757426539766,0.0008996050774145035,0.00028448010392819297,10
3.8,0.04493352,5306.041497418272,-0.0015443862220559817,0.0017950373750407135,0.0005676406590258536,10
3.8,0.04493352,6023.050628072877,-0.0004255014198713382,0.0018922433613616087,0.0005983798909235736,10
3.8,0.04493352,6836.949708361742,0.0006046876998108897,0.0023393498222133977,0.0007397673682104297,10
3.8,0.04493352,7760.831545529242,-0.0007313024219829988,0.001696995935979573,0.0005366372337744733,10
3.8,0.04493352,8809.558187098928,-0.000594401396337292,0.001163293934387648,0.0003678658420923439,10
3.8,0.04493352,9999.99999956053,-0.0011925882456583108,0.001118790791224822,0.00035379271254923594,10
3.8,0.03119342,0.010000000000218279,0.999983712292952,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.011351307054675233,0.9999771066375448,0.0001,3.1622776601683795e-05,10
