model,p0,T,mean_A,std_A,skew_A,kurt_A,mean_P,std_P,skew_P,kurt_P,median_ell,f_ell_lt_T1,n_cells,n_ell,n_frames
vertex,3.775,0.01531428,0.9999999999994689,0.053056217720540214,-0.12065011987132349,0.06327342074495146,3.865096081257782,0.0788130966607091,-0.0008156209266507591,-0.009371496353596687,0.6481858943500001,0.0,32768,98304,8
vertex,3.775,0.01410022,0.9999999999999969,0.05080019736617399,-0.13021415841025288,0.14202174281276214,3.860052654099762,0.074846950888181,0.015391224572643112,0.017683816575331246,0.6472809333,0.0,32768,98304,8
vertex,3.775,0.01305204,0.9999999999992554,0.04893764052698481,-0.15458597456137016,0.1250396933959168,3.854407611503174,0.07217146376304948,0.029819356809583582,-0.023537840117245246,0.6457276569,0.0,32768,98304,8
vertex,3.775,0.01235791,1.0000000000007507,0.047402489868588055,-0.18534012215871512,0.12182324121981569,3.8493436096197815,0.07030531475731508,-0.008710513150983852,-0.048205795086992076,0.6453463452499999,0.0,32768,98304,8
vertex,3.775,0.01148049,0.9999999999980957,0.04577048152394077,-0.18064461386054612,0.15834039396928157,3.8466603242651973,0.06803829173400591,-0.006977583322510679,-0.006953137296125789,0.64418090205,0.0,32768,98304,8
vertex,3.775,0.01137213,1.0000000000002505,0.04536179016327426,-0.1783830993845287,0.16398333153571176,3.8454674500188597,0.06799522032855876,-0.009825001242083452,-0.008494190838197913,0.64499426525,0.0,32768,98304,8
vertex,3.775,0.01126058,0.9999999999996491,0.045186612175917344,-0.18563647413147044,0.18543935745690376,3.843962733191376,0.06765489867395773,0.0021873949215938495,0.004870707282003117,0.6450980470500001,0.0,32768,98304,8
vertex,3.775,0.01007535,1.000000000000052,0.04234429891637897,-0.18614471528238363,0.1851011228438666,3.8373970480995787,0.06385276852153537,-0.014583783774837083,0.01932659182731733,0.64400564705,0.0,32768,98304,8
vertex,3.775,0.00957161,0.9999999999996277,0.04219415923589758,-0.17003845671118129,0.09616741535428686,3.8383409050680237,0.06246279428399006,-0.003966612490168061,-0.013349872384851746,0.64355318115,0.0,32768,98304,8
vertex,3.775,0.00843176,1.000000000000119,0.03909597184322592,-0.1838020939166195,0.2045380614155179,3.8311368857252805,0.05832275060086191,-0.012715016446477526,0.03437405849958752,0.6416289471500001,0.0,32768,98304,8
voronoi,3.775,0.03105,1.000000000002002,0.06882663796904237,-0.015013597443400093,0.012901978470114539,3.8572923528168026,0.10186825692086181,-0.02614641971196216,-0.02489861328676124,0.6575941147,0.0018513997395833333,32768,98304,8
voronoi,3.775,0.025,1.0000000000006684,0.06299610573852991,-0.04360504486647644,0.04137444271322632,3.8483677857929686,0.09243190568561459,-0.019416087932543406,0.02816562204436135,0.65484091355,0.0015055338541666667,32768,98304,8
voronoi,3.775,0.02,1.0000000000016174,0.05674833401420883,-0.03806187438017508,0.034810098861692396,3.8392150119856874,0.08355659508871847,-0.006419082200027839,-0.036292947312092316,0.6532033155,0.0013834635416666667,32768,98304,8
voronoi,3.775,0.016,1.0000000000000733,0.05113928928102148,-0.0911111273969886,0.002807762365265365,3.830675173598572,0.07443248516132538,-0.03068083080390576,-0.034313531905310946,0.6516215442,0.0009358723958333334,32768,98304,8
voronoi,3.775,0.012,1.0000000000001343,0.044806508687687645,-0.11565282758656151,0.10304727687983739,3.8197516122325745,0.0651361631013941,-0.016416644747291324,-0.0266210020344948,0.6488782908499999,0.0005900065104166666,32768,98304,8
voronoi,3.775,0.01,1.0000000000020326,0.04110531185635393,-0.1429880607199889,0.07280127050207641,3.813109242147003,0.059697466669956296,-0.008549710240130569,0.0272482832325478,0.64556187735,0.000640869140625,32768,98304,8
voronoi,3.775,0.009,1.000000000001224,0.03865065705474239,-0.1684898853932652,0.07420270884188351,3.8085900038562315,0.05650877925413801,0.006067565106414563,-0.046122443527685686,0.6446948858,0.0005086263020833334,32768,98304,8
voronoi,3.775,0.008,1.0000000000005158,0.03607775863264383,-0.18873232186974365,0.1271506622456693,3.8035493792420962,0.053337051432529904,-0.012105524220336221,0.005851389713668276,0.6422796859,0.0004069010416666667,32768,98304,8
voronoi,3.775,0.0075,0.9999999999960694,0.03452876616330723,-0.17888360594523406,0.21788097533743578,3.8009223462507933,0.051774143484748465,0.0037137121958123204,-0.02125567541430584,0.6426119281,0.0004170735677083333,32768,98304,8
voronoi,3.775,0.007,0.9999999999996765,0.033515230271713804,-0.1963402513369072,0.24573263714059035,3.7988683928063964,0.050271793191042774,0.0038064410782975427,0.0008355414084544321,0.6410654478,0.0003153483072916667,32768,98304,8
voronoi,3.775,0.0063,1.000000000001059,0.03173404667857369,-0.210802165444245,0.22256006591340505,3.7960858926350403,0.04797405508974767,-0.004654933883707881,0.012407481238992268,0.63965712075,0.00018310546875,32768,98304,8
voronoi,3.775,0.0056,1.0000000000021605,0.029394494186082424,-0.17235612777128229,0.22489730428745958,3.7927994250322876,0.045043901481024516,0.014137415520000507,0.044852377406311206,0.6393144336,0.00014241536458333334,32768,98304,8
voronoi,3.775,0.0054,0.9999999999997375,0.029128660222548994,-0.19014588451068107,0.24739829902219812,3.7918680936801756,0.0442983086452027,-0.008648117161837492,0.05933680767337268,0.6391314540499999,0.00016276041666666666,32768,98304,8
vertex,3.8,0.16398067,0.9999999999994964,0.17198936580726282,-0.027460406518539086,0.10745947347503515,4.134364070179443,0.2638018441477368,-0.05864671446718016,0.02732269589495928,0.6850274581,0.0,32768,98304,8
vertex,3.8,0.09830474,0.999999999999756,0.1334121938863708,-0.042758774841113664,0.034226428493644434,4.052607626290893,0.201549697031656,-0.01959426958541078,-0.031214230757556027,0.6752731702,0.0,32768,98304,8
vertex,3.8,0.08400365,0.9999999999999115,0.12315792467537061,-0.06482230692315297,0.09779872293296288,4.02988595542984,0.18652639824319578,-0.022960780410842596,-0.00301507984691618,0.6724293732,0.0,32768,98304,8
vertex,3.8,0.06198152,0.9999999999997526,0.10637230120634711,-0.05778960791630406,0.11508054317812233,3.995799116799591,0.15907467456448487,0.0004914153566249746,-0.0042343548462211444,0.6665655283,0.0,32768,98304,8
