p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.8,0.00718994,100000.0,10000.0,10000.0,19964.064413087035,1,4096,0
3.8,0.00718994,10000.0,10000.0,10000.0,7320.856673004363,1,4096,0
3.8,0.00718994,110000.0,10000.0,10000.0,28737.974969571875,1,4096,0
3.8,0.00718994,120000.0,10000.0,10000.0,26417.938925522118,1,4096,0
3.8,0.00718994,130000.0,10000.0,10000.0,,0,4096,0
3.8,0.00718994,140000.0,10000.0,10000.0,,0,4096,0
3.8,0.00718994,20000.0,10000.0,10000.0,8671.293073587422,1,4096,0
3.8,0.00718994,30000.0,10000.0,10000.0,9133.650247812253,1,4096,0
3.8,0.00718994,40000.0,10000.0,10000.0,12159.65240522024,1,4096,0
3.8,0.00718994,50000.0,10000.0,10000.0,13197.156909627127,1,4096,0
3.8,0.00718994,60000.0,10000.0,10000.0,12692.229138594645,1,4096,0
3.8,0.00718994,70000.0,10000.0,10000.0,12483.914251101833,1,4096,0
3.8,0.00718994,80000.0,10000.0,10000.0,11739.647108958921,1,4096,0
3.8,0.00718994,90000.0,10000.0,10000.0,12749.279389950549,1,4096,0
3.8,0.00822905,0.0,4641.59,4641.59,2858.2822194608907,1,4096,0
3.8,0.00822905,13925.0,4641.59,4641.59,4015.5133078877666,1,4096,0
3.8,0.00822905,18566.0,4641.59,4641.59,4653.50045090128,1,4096,0
3.8,0.00822905,23208.0,4641.59,4641.59,5046.348631495802,1,4096,0
3.8,0.00822905,27850.0,4641.59,4641.59,5127.787751317772,1,4096,0
3.8,0.00822905,32491.0,4641.59,4641.59,5154.246721714885,1,4096,0
3.8,0.00822905,37133.0,4641.59,4641.59,5610.428379648118,1,4096,0
3.8,0.00822905,41774.0,4641.59,4641.59,7046.048940965565,1,4096,0
3.8,0.00822905,46416.0,4641.59,4641.59,7390.130602914757,1,4096,0
3.8,0.00822905,4642.0,4641.59,4641.59,4336.336618090386,1,4096,0
3.8,0.00822905,51057.0,4641.59,4641.59,6237.361807945767,1,4096,0
3.8,0.00822905,55699.0,4641.59,4641.59,6929.609998233687,1,4096,0
3.8,0.00822905,60341.0,4641.59,4641.59,7482.43221129435,1,4096,0
3.8,0.00822905,64982.0,4641.59,4641.59,,0,4096,0
3.8,0.00822905,9283.0,4641.59,4641.59,4805.785340326808,1,4096,0
3.8,0.00961925,0.0,2154.43,2154.43,1604.7318611350738,1,4096,0
3.8,0.00961925,10772.0,2154.43,2154.43,2420.6852218087697,1,4096,0
3.8,0.00961925,12927.0,2154.43,2154.43,2468.3254299996174,1,4096,0
3.8,0.00961925,15081.0,2154.43,2154.43,2632.646801823494,1,4096,0
3.8,0.00961925,17235.0,2154.43,2154.43,2468.6276397438974,1,4096,0
3.8,0.00961925,19390.0,2154.43,2154.43,2189.8594550443904,1,4096,0
3.8,0.00961925,21544.0,2154.43,2154.43,1745.8256710546464,1,4096,0
3.8,0.00961925,2154.0,2154.43,2154.43,1733.5266920936022,1,4096,0
