p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.775,0.05158933,0.0032,169.42119125780496,46.4159,10000.0,1
3.775,0.08784725,0.0032,65.11179758402092,21.5443,10000.0,1
3.775,0.15774637,0.0032,26.834110344208685,10.0,10000.0,1
3.775,0.01135263,0.0046,24826.140588791397,10000.0,100000.0,1
3.775,0.01265623,0.0046,6832.781403178748,4641.59,46416.0,1
3.775,0.01344977,0.0046,3709.7452429418695,2154.43,21544.0,1
3.775,0.01509788,0.0046,1658.3504941793622,1000.0,10000.0,1
3.775,0.01852515,0.0046,938.5222628737858,464.159,10000.0,1
3.775,0.02343962,0.0046,465.5623128300909,215.443,10000.0,1
3.775,0.03315978,0.0046,215.99527498189659,100.0,10000.0,1
3.775,0.05158933,0.0046,88.16679811649153,46.4159,10000.0,1
3.775,0.08784725,0.0046,47.74683324365045,21.5443,10000.0,1
3.775,0.15774637,0.0046,20.625061426174085,10.0,10000.0,1
3.775,0.01135263,0.0068,11321.846522141703,10000.0,100000.0,1
3.775,0.01265623,0.0068,4163.2628195938405,4641.59,46416.0,1
3.775,0.01344977,0.0068,2684.2204994342255,2154.43,21544.0,1
3.775,0.01509788,0.0068,1190.4959738081018,1000.0,10000.0,1
3.775,0.01852515,0.0068,717.3499074115724,464.159,10000.0,1
3.775,0.02343962,0.0068,340.32424309109877,215.443,10000.0,1
3.775,0.03315978,0.0068,134.8647645050388,100.0,10000.0,1
3.775,0.05158933,0.0068,63.41093556341231,46.4159,10000.0,1
3.775,0.08784725,0.0068,32.92830331920168,21.5443,10000.0,1
3.775,0.15774637,0.0068,14.247281821586473,10.0,10000.0,1
3.775,0.01135263,0.02,3800.422352815716,10000.0,100000.0,1
3.775,0.01265623,0.02,1244.8754458268556,4641.59,46416.0,1
3.775,0.01344977,0.02,761.3269182501491,2154.43,21544.0,1
3.775,0.01509788,0.02,479.50552155192037,1000.0,10000.0,1
3.775,0.01852515,0.02,242.6125983651963,464.159,10000.0,1
3.775,0.02343962,0.02,125.03431973406609,215.443,10000.0,1
3.775,0.03315978,0.02,56.947750040784484,100.0,10000.0,1
3.775,0.05158933,0.02,25.801989155217772,46.4159,10000.0,1
3.775,0.08784725,0.02,10.818315487948139,21.5443,10000.0,1
3.775,0.15774637,0.02,1.9515620499867634,10.0,10000.0,1
3.775,0.01135263,0.03,1419.2788874138187,10000.0,100000.0,1
3.775,0.01265623,0.03,767.0695171940501,4641.59,46416.0,1
3.775,0.01344977,0.03,535.9898107362291,2154.43,21544.0,1
3.775,0.01509788,0.03,329.92826794992175,1000.0,10000.0,1
3.775,0.01852515,0.03,156.69139855350568,464.159,10000.0,1
3.775,0.02343962,0.03,98.99075476823482,215.443,10000.0,1
3.775,0.03315978,0.03,39.75962937944094,100.0,10000.0,1
3.775,0.05158933,0.03,17.06606181910021,46.4159,10000.0,1
3.775,0.08784725,0.03,7.295686220529576,21.5443,10000.0,1
3.775,0.15774637,0.03,1.7780196434072202,10.0,10000.0,1
3.775,0.01135263,0.04,41848.676992958885,10000.0,100000.0,1
3.775,0.01265623,0.04,,4641.59,46416.0,0
3.775,0.01344977,0.04,,2154.43,21544.0,0
3.775,0.01509788,0.04,,1000.0,10000.0,0
3.775,0.01852515,0.04,,464.159,10000.0,0
3.775,0.02343962,0.04,2772.684656823335,215.443,10000.0,0
3.775,0.03315978,0.04,262.8702796800928,100.0,10000.0,1
3.775,0.05158933,0.04,27.880887118479627,46.4159,10000.0,1
3.775,0.08784725,0.04,8.37415037551881,21.5443,10000.0,1
