t1,p0,T,waitingTime,tauAlpha,crossed,n,idx,source
0.06,3.8,0.02908965,10000.0,3585.8650677812952,1,4096,0,t1Scan
0.06,3.8,0.04732642,13000.0,1149.0211593873023,1,4096,0,t1Scan
0.06,3.8,0.07997788,14000.0,38.451231568330726,1,4096,0,t1Scan
0.06,3.8,0.10807693,14000.0,7.149356908650113,1,4096,0,t1Scan
0.07,3.8,0.00857386,1000.0,12578.626471581636,1,4096,0,t1Scan
0.07,3.8,0.00972763,2000.0,12279.835113233463,1,4096,0,t1Scan
0.07,3.8,0.01138609,2000.0,12228.00227850339,1,4096,0,t1Scan
0.07,3.8,0.0145279,5000.0,9514.421331517131,1,4096,0,t1Scan
0.07,3.8,0.01950438,3000.0,7544.608902858144,1,4096,0,t1Scan
0.07,3.8,0.02908965,10000.0,2162.229280582346,1,4096,0,t1Scan
0.07,3.8,0.04732642,14000.0,555.770345953071,1,4096,0,t1Scan
0.07,3.8,0.07997788,0.0,25.78109331136731,1,4096,0,t1Scan
0.07,3.8,0.10807693,13000.0,2.607290215064685,1,4096,0,t1Scan
0.08,3.8,0.00857386,9000.0,5616.781169227691,1,4096,0,t1Scan
0.08,3.8,0.00972763,0.0,5571.497270580157,1,4096,0,t1Scan
0.08,3.8,0.01138609,8000.0,5779.63601970497,1,4096,0,t1Scan
0.08,3.8,0.0145279,7000.0,7055.072563075053,1,4096,0,t1Scan
0.08,3.8,0.01950438,10000.0,3113.0273851150887,1,4096,0,t1Scan
0.08,3.8,0.02908965,3000.0,624.6955493579665,1,4096,0,t1Scan
0.08,3.8,0.04732642,0.0,140.14533937611182,1,4096,0,t1Scan
0.08,3.8,0.07997788,0.0,6.755725901639712,1,4096,0,t1Scan
0.08,3.8,0.10807693,1000.0,1.2859596058570033,1,4096,0,t1Scan
0.09,3.8,0.00804331,13000.0,1850.612620115635,1,4096,0,t1Scan
0.09,3.8,0.00857386,5000.0,9805.379608090368,1,4096,0,t1Scan
0.09,3.8,0.00972763,3000.0,3234.0526208999004,1,4096,0,t1Scan
0.09,3.8,0.01138609,10000.0,4419.439665193859,1,4096,0,t1Scan
0.09,3.8,0.0145279,13000.0,1636.0639843912581,1,4096,0,t1Scan
0.09,3.8,0.02908965,0.0,321.75301117499646,1,4096,0,t1Scan
0.09,3.8,0.10807693,0.0,0.9936060192729047,1,4096,0,t1Scan
0.1,3.8,0.01138609,1000.0,737.4195459542195,1,4096,0,t1Scan
0.1,3.8,0.0145279,0.0,396.1109722481698,1,4096,0,t1Scan
0.1,3.8,0.01950438,0.0,248.29364925006502,1,4096,0,t1Scan
,3.8,0.0016,,44857.43365079655,1,4096,0,voronoi
,3.8,0.0018,,20354.12033883563,1,4096,0,voronoi
,3.8,0.002,,13357.57776429996,1,4096,0,voronoi
,3.8,0.0022,,8306.584752444407,1,4096,0,voronoi
,3.8,0.0025,,4591.206662582439,1,4096,0,voronoi
,3.8,0.0028,,2571.701791242669,1,4096,0,voronoi
,3.8,0.0031,,1423.112663806807,1,4096,0,voronoi
,3.8,0.00385,,550.157473723199,1,4096,0,voronoi
,3.8,0.005,,225.1106579843973,1,4096,0,voronoi
,3.8,0.0063,,113.7016162386507,1,4096,0,voronoi
,3.8,0.008,,61.57546102366048,1,4096,0,voronoi
,3.8,0.01,,38.70700460286636,1,4096,0,voronoi
,3.8,0.016,,13.32673763266526,1,4096,0,voronoi
,3.8,0.025,,5.532245798634841,1,4096,0,voronoi
,3.8,0.03105,,3.926947303972556,1,4096,0,voronoi
,3.8,0.039,,2.764809517861429,1,4096,0,voronoi
,3.8,0.063,,0.8123588919200075,1,4096,0,voronoi
